;;População Estimada - DATASUS
;;Total
Foz do Iguaçu;RGI de Foz do Iguaçu;295500
Foz do Jordão;RGI de Guarapuava;4925
Francisco Alves;RGI de Umuarama;8464
Francisco Beltrão;RGI de Francisco Beltrão;101302
General Carneiro;RGI de União da Vitória;10861
Godoy Moreira;RGI de Ivaiporã;2970
Goioerê;RGI de Campo Mourão;28970
Goioxim;RGI de Guarapuava;6531
Grandes Rios;RGI de Ivaiporã;5586
Guaíra;RGI de Toledo;32966
Guairaçá;RGI de Paranavaí;6733
Guamiranga;RGI de Guarapuava;7961
Guapirama;RGI de Santo Antônio da Platina;4792
Guaporema;RGI de Cianorte;2217
Guaraci;RGI de Londrina;4762
Guaraniaçu;RGI de Cascavel;13814
Guarapuava;RGI de Guarapuava;188710
Guaraqueçaba;RGI de Paranaguá;7474
Guaratuba;RGI de Paranaguá;44323
Honório Serpa;RGI de Pato Branco;4872
Ibaiti;RGI de Ibaiti;29440
Ibema;RGI de Cascavel;6327
Ibiporã;RGI de Londrina;53054
Icaraíma;RGI de Umuarama;9139
Iguaraçu;RGI de Maringá;5599
Iguatu;RGI de Cascavel;2162
Imbaú;RGI de Telêmaco Borba;14815
Imbituva;RGI de Irati;30757
Inácio Martins;RGI de Guarapuava;9633
Inajá;RGI de Paranacity - Colorado;2510
Indianópolis;RGI de Cianorte;4531
Ipiranga;RGI de Ponta Grossa;14338
Iporã;RGI de Umuarama;16062
Iracema do Oeste;RGI de Toledo;2344
Irati;RGI de Irati;60796
Iretama;RGI de Campo Mourão;10843
Itaguajé;RGI de Paranacity - Colorado;4532
Itaipulândia;RGI de Foz do Iguaçu;11984
Itambaracá;RGI de Cornélio Procópio - Bandeirantes;5874
Itambé;RGI de Maringá;6215
Itapejara d'Oeste;RGI de Pato Branco;12766
Itaperuçu;RGI de Curitiba;32890
Itaúna do Sul;RGI de Paranavaí;3620
Ivaí;RGI de Ponta Grossa;13473
Ivaiporã;RGI de Ivaiporã;33529
Ivaté;RGI de Umuarama;6833
Ivatuba;RGI de Maringá;2705
Jaboti;RGI de Ibaiti;5576
Jacarezinho;RGI de Santo Antônio da Platina;41400
Jaguapitã;RGI de Londrina;15719
Jaguariaíva;RGI de Ponta Grossa;36231
Jandaia do Sul;RGI de Apucarana;21851
Janiópolis;RGI de Campo Mourão;5835
Japira;RGI de Ibaiti;5060
Japurá;RGI de Cianorte;9354
Jardim Alegre;RGI de Ivaiporã;12130
Jardim Olinda;RGI de Paranacity - Colorado;1353
Jataizinho;RGI de Londrina;11971
Jesuítas;RGI de Toledo;10860
Joaquim Távora;RGI de Santo Antônio da Platina;12280
Jundiaí do Sul;RGI de Santo Antônio da Platina;3366
Juranda;RGI de Campo Mourão;7898
Jussara;RGI de Cianorte;6795
Kaloré;RGI de Apucarana;4657
Lapa;RGI de Curitiba;45857
Laranjal;RGI de Pitanga;5575
Laranjeiras do Sul;RGI de Laranjeiras do Sul - Quedas do Iguaçu;33103
Leópolis;RGI de Cornélio Procópio - Bandeirantes;3751
Lidianópolis;RGI de Ivaiporã;3989
Lindoeste;RGI de Cascavel;5226
Loanda;RGI de Loanda;23813
Lobato;RGI de Paranacity - Colorado;4693
Londrina;RGI de Londrina;577318
Luiziana;RGI de Campo Mourão;6696
Lunardelli;RGI de Ivaiporã;4902
Lupionópolis;RGI de Londrina;4911
Mallet;RGI de Irati;13655
Mamborê;RGI de Campo Mourão;13572
Mandaguaçu;RGI de Maringá;33752
Mandaguari;RGI de Maringá;38050
Mandirituba;RGI de Curitiba;28761
Manfrinópolis;RGI de Francisco Beltrão;2761
Mangueirinha;RGI de Pato Branco;16764
Manoel Ribas;RGI de Ivaiporã;14576
Marechal Cândido Rondon;RGI de Marechal Cândido Rondon;58140
Maria Helena;RGI de Umuarama;5935
Marialva;RGI de Maringá;44098
Marilândia do Sul;RGI de Apucarana;8774
Marilena;RGI de Paranavaí;7409
Mariluz;RGI de Umuarama;9934
Maringá;RGI de Maringá;425983
Mariópolis;RGI de Pato Branco;6475
Maripá;RGI de Toledo;6767
Marmeleiro;RGI de Francisco Beltrão;16386
Marquinho;RGI de Laranjeiras do Sul - Quedas do Iguaçu;4521
Marumbi;RGI de Apucarana;4778
Matelândia;RGI de Cascavel;19022
Matinhos;RGI de Paranaguá;41416
Mato Rico;RGI de Pitanga;3237
Mauá da Serra;RGI de Apucarana;9628
Medianeira;RGI de Foz do Iguaçu;57120
Mercedes;RGI de Marechal Cândido Rondon;6136
Mirador;RGI de Paranavaí;2258
Miraselva;RGI de Londrina;2008
Missal;RGI de Foz do Iguaçu;11301
Moreira Sales;RGI de Campo Mourão;11137
Morretes;RGI de Paranaguá;18908
Munhoz de Melo;RGI de Maringá;4045
Nossa Senhora das Graças;RGI de Paranacity - Colorado;3685
Nova Aliança do Ivaí;RGI de Paranavaí;1327
Nova América da Colina;RGI de Cornélio Procópio - Bandeirantes;3299
Nova Aurora;RGI de Cascavel;14219
Nova Cantu;RGI de Campo Mourão;6799
Nova Esperança;RGI de Maringá;27142
Nova Esperança do Sudoeste;RGI de Francisco Beltrão;5744
Nova Fátima;RGI de Cornélio Procópio - Bandeirantes;7201
Nova Laranjeiras;RGI de Laranjeiras do Sul - Quedas do Iguaçu;12287
Nova Londrina;RGI de Paranavaí;13085
Nova Olímpia;RGI de Umuarama;5960
Nova Prata do Iguaçu;RGI de Dois Vizinhos;13196
Nova Santa Bárbara;RGI de Cornélio Procópio - Bandeirantes;4280
Nova Santa Rosa;RGI de Marechal Cândido Rondon;8535
Nova Tebas;RGI de Pitanga;6870
Novo Itacolomi;RGI de Apucarana;3210
Ortigueira;RGI de Telêmaco Borba;24627
Ourizona;RGI de Maringá;3206
Ouro Verde do Oeste;RGI de Toledo;7031
Paiçandu;RGI de Maringá;48207
Palmas;RGI de Pato Branco;49891
Palmeira;RGI de Ponta Grossa;34806
Palmital;RGI de Pitanga;12967
Palotina;RGI de Toledo;36623
Paraíso do Norte;RGI de Paranavaí;13634
Paranacity;RGI de Paranacity - Colorado;9597
Paranaguá;RGI de Paranaguá;149819
Paranapoema;RGI de Paranacity - Colorado;2378
Paranavaí;RGI de Paranavaí;95525
Pato Bragado;RGI de Marechal Cândido Rondon;5939
Pato Branco;RGI de Pato Branco;96602
Paula Freitas;RGI de União da Vitória;5778
Paulo Frontin;RGI de União da Vitória;6369
Peabiru;RGI de Campo Mourão;13496
Perobal;RGI de Umuarama;7496
Pérola;RGI de Umuarama;12275
Pérola d'Oeste;RGI de Francisco Beltrão;6235
Piên;RGI de Curitiba;14179
Pinhais;RGI de Curitiba;131199
Pinhal de São Bento;RGI de Francisco Beltrão;2819
Pinhalão;RGI de Ibaiti;6707
Pinhão;RGI de Guarapuava;30472
Piraí do Sul;RGI de Ponta Grossa;24000
Piraquara;RGI de Curitiba;124934
Pitanga;RGI de Pitanga;34513
Pitangueiras;RGI de Londrina;3121
Planaltina do Paraná;RGI de Paranavaí;4123
Planalto;RGI de Francisco Beltrão;14663
Ponta Grossa;RGI de Ponta Grossa;372562
Pontal do Paraná;RGI de Paranaguá;32426
Porecatu;RGI de Londrina;11438
Porto Amazonas;RGI de Ponta Grossa;4099
Porto Barreiro;RGI de Laranjeiras do Sul - Quedas do Iguaçu;3078
Porto Rico;RGI de Loanda;3316
Porto Vitória;RGI de União da Vitória;3549
Prado Ferreira;RGI de Londrina;3799
Pranchita;RGI de Francisco Beltrão;5833
Presidente Castelo Branco;RGI de Maringá;4336
Primeiro de Maio;RGI de Londrina;10121
Prudentópolis;RGI de Guarapuava;50428
Quarto Centenário;RGI de Campo Mourão;4170
Quatiguá;RGI de Santo Antônio da Platina;8357
Quatro Barras;RGI de Curitiba;25109
Quatro Pontes;RGI de Marechal Cândido Rondon;4636
Quedas do Iguaçu;RGI de Laranjeiras do Sul - Quedas do Iguaçu;31405
Querência do Norte;RGI de Loanda;10693
Quinta do Sol;RGI de Campo Mourão;5060
Quitandinha;RGI de Curitiba;18823
Ramilândia;RGI de Cascavel;4293
Rancho Alegre;RGI de Cornélio Procópio - Bandeirantes;3501
Rancho Alegre D'Oeste;RGI de Campo Mourão;2638
Realeza;RGI de Francisco Beltrão;19903
Rebouças;RGI de Irati;14754
Renascença;RGI de Francisco Beltrão;6946
Reserva;RGI de Telêmaco Borba;24851
Reserva do Iguaçu;RGI de Guarapuava;6543
Ribeirão Claro;RGI de Santo Antônio da Platina;12770
Ribeirão do Pinhal;RGI de Santo Antônio da Platina;13180
Rio Azul;RGI de Irati;14214
Rio Bom;RGI de Apucarana;3223
Rio Bonito do Iguaçu;RGI de Laranjeiras do Sul - Quedas do Iguaçu;14234
Rio Branco do Ivaí;RGI de Ivaiporã;3850
Rio Branco do Sul;RGI de Curitiba;39307
Rio Negro;RGI de Curitiba;31992
Rolândia;RGI de Londrina;74935
Roncador;RGI de Campo Mourão;11371
Rondon;RGI de Cianorte;9240
Rosário do Ivaí;RGI de Ivaiporã;5491
Sabáudia;RGI de Londrina;9320
Salgado Filho;RGI de Francisco Beltrão;4097
Salto do Itararé;RGI de Santo Antônio da Platina;5267
Salto do Lontra;RGI de Dois Vizinhos;15636
Santa Amélia;RGI de Cornélio Procópio - Bandeirantes;3386
Santa Cecília do Pavão;RGI de Cornélio Procópio - Bandeirantes;3375
Santa Cruz de Monte Castelo;RGI de Loanda;8806
Santa Fé;RGI de Maringá;11669
Santa Helena;RGI de Toledo;26341
Santa Inês;RGI de Paranacity - Colorado;1760
Santa Isabel do Ivaí;RGI de Loanda;9059
Santa Izabel do Oeste;RGI de Francisco Beltrão;14385
Santa Lúcia;RGI de Cascavel;3657
Santa Maria do Oeste;RGI de Pitanga;9985
Santa Mariana;RGI de Cornélio Procópio - Bandeirantes;11034
Santa Mônica;RGI de Loanda;3373
Santa Tereza do Oeste;RGI de Cascavel;13749
Santa Terezinha de Itaipu;RGI de Foz do Iguaçu;25055
Santana do Itararé;RGI de Santo Antônio da Platina;5628
Santo Antônio da Platina;RGI de Santo Antônio da Platina;45534
Santo Antônio do Caiuá;RGI de Paranavaí;2496
Santo Antônio do Paraíso;RGI de Cornélio Procópio - Bandeirantes;2116
Santo Antônio do Sudoeste;RGI de Francisco Beltrão;24644
Santo Inácio;RGI de Paranacity - Colorado;6397
São Carlos do Ivaí;RGI de Paranavaí;6712
São Jerônimo da Serra;RGI de Cornélio Procópio - Bandeirantes;10913
São João;RGI de Pato Branco;12230
São João do Caiuá;RGI de Paranavaí;5620
São João do Ivaí;RGI de Ivaiporã;10700
São João do Triunfo;RGI de Ponta Grossa;13923
São Jorge d'Oeste;RGI de Dois Vizinhos;9550
São Jorge do Ivaí;RGI de Maringá;5193
São Jorge do Patrocínio;RGI de Umuarama;6659
São José da Boa Vista;RGI de Santo Antônio da Platina;6060
São José das Palmeiras;RGI de Toledo;4030
São José dos Pinhais;RGI de Curitiba;345644
